,Interval,CumulativePlayerPointsInterval,Home,TeamRest,OpponentTeamRest,CumulativeTeamPointsInterval,CumulativeOpponentPointsInterval,ScoreMarginInterval,ScoreMarginxTimeRemainingInterval,ScoreMarginxTimeRemaining2Interval,RollingAvgPlayerPoints,RollingAverageOpposingTeamAllowedPoints,RollingAverageTeamPoints,Player,res,GameId
22612,2,16.0,0,2.0,2.0,71,66,5,120.0,2880.0,34.488060064278194,136.17684520621788,129.32225231668954,A. Davis - davisan02,6.2229584146385575,836
44882,3,25.0,0,2.0,2.0,109,107,2,24.0,288.0,34.488060064278194,136.17684520621788,129.32225231668954,A. Davis - davisan02,7.212849125576422,836
67152,4,30.0,0,2.0,2.0,140,147,-7,0.0,0.0,34.488060064278194,136.17684520621788,129.32225231668954,A. Davis - davisan02,6.629830853829963,836
89423,0,0.0,0,2.0,2.0,0,0,0,0.0,0.0,22.848633414073426,127.41443378706252,123.39266530779872,A. Davis - davisan02,4.575384531235749,840
343,1,7.0,0,2.0,2.0,37,40,-3,108.0,3888.0,22.848633414073426,127.41443378706252,123.39266530779872,A. Davis - davisan02,4.912708743488804,840
22613,2,7.0,0,2.0,2.0,63,68,-5,120.0,2880.0,22.848633414073426,127.41443378706252,123.39266530779872,A. Davis - davisan02,2.433308252942351,840
44883,3,9.0,0,2.0,2.0,92,107,-15,180.0,2160.0,22.848633414073426,127.41443378706252,123.39266530779872,A. Davis - davisan02,0.9100510804538531,840
67153,4,17.0,0,2.0,2.0,121,131,-10,0.0,0.0,22.848633414073426,127.41443378706252,123.39266530779872,A. Davis - davisan02,1.262603295785302,840
89424,0,0.0,0,4.0,4.0,0,0,0,0.0,0.0,28.733706658746936,115.29991795078249,121.38349686178948,A. Davis - davisan02,3.611931609781658,938
344,1,10.0,0,4.0,4.0,35,29,6,216.0,7776.0,28.733706658746936,115.29991795078249,121.38349686178948,A. Davis - davisan02,5.336379477714771,938
22614,2,18.0,0,4.0,4.0,71,54,17,408.0,9792.0,28.733706658746936,115.29991795078249,121.38349686178948,A. Davis - davisan02,6.5681137382414345,938
44884,3,22.0,0,4.0,4.0,101,84,17,204.0,2448.0,28.733706658746936,115.29991795078249,121.38349686178948,A. Davis - davisan02,5.513185211176671,938
67154,4,32.0,0,4.0,4.0,131,109,22,0.0,0.0,28.733706658746936,115.29991795078249,121.38349686178948,A. Davis - davisan02,6.651601319238681,938
89425,0,0.0,0,4.0,4.0,0,0,0,0.0,0.0,16.258211034449662,114.78958944508514,117.61720722345096,A. Davis - davisan02,4.054840273161624,1033
345,1,8.0,0,4.0,4.0,35,24,11,396.0,14256.0,16.258211034449662,114.78958944508514,117.61720722345096,A. Davis - davisan02,5.037820552261683,1033
22615,2,8.0,0,4.0,4.0,71,55,16,384.0,9216.0,16.258211034449662,114.78958944508514,117.61720722345096,A. Davis - davisan02,2.683266229684783,1033
44885,3,15.0,0,4.0,4.0,94,97,-3,36.0,432.0,16.258211034449662,114.78958944508514,117.61720722345096,A. Davis - davisan02,2.5923144872750914,1033
67155,4,15.0,0,4.0,4.0,111,126,-15,0.0,0.0,16.258211034449662,114.78958944508514,117.61720722345096,A. Davis - davisan02,-0.0033473871821834665,1033
